orderId,symbol,strikePrice,side,investment,buy_price,qty,stoploss,target,exit_price,ltp,profit_loss,remark,unsubscribe,entry_time,exit_time,remaining_balance,kite_order
NFO:Profit,,,,,,,,,,,-4003.75,,False,23:59:59,,26056.25,False
NFO:BANKNIFTY2320940800CE,BANKNIFTY,40800.0,CE,25580.0,511.6,0.0,460.44,588.34,487.2,487.2,-1280.0,due to is_short,False,12:31:01,12:33:01,0.0,False
NFO:BANKNIFTY2320940800CE,BANKNIFTY,40800.0,CE,26740.0,534.8,0.0,481.32,615.02,486.3,486.3,-2485.0,due to is_short,False,12:39:01,13:00:01,0.0,False
NFO:BANKNIFTY2320941100PE,BANKNIFTY,41100.0,PE,25067.5,501.35,0.0,451.215,576.5525,480.35,480.35,-1110.0,due to is_long,False,13:14:01,13:15:01,0.0,False
NFO:BANKNIFTY2320940800CE,BANKNIFTY,40800.0,CE,13631.25,545.25,0.0,490.725,627.0375,505.25,505.25,-1060.0,due to is_short,False,13:15:03,13:31:01,0.0,False
NFO:BANKNIFTY2320940900CE,BANKNIFTY,40900.0,CE,13527.5,541.1,0.0,623.0,637.265,620.75,620.75,1931.25,Stop Loss Hit,False,13:40:57,14:21:19,0.0,False
