orderId,symbol,strikePrice,side,investment,buy_price,qty,stoploss,target,exit_price,ltp,profit_loss,remark,unsubscribe,entry_time,exit_time,remaining_balance,kite_order
NFO:Profit,,,,,,,,,,,1833.75,,False,23:59:59,,6652.5,False
NFO:BANKNIFTY2330239900CE,BANKNIFTY,39900.0,CE,21112.5,422.25,0.0,374.25,2400.0,371.45,371.45,-2600.0,Stop Loss Hit,False,09:30:01,09:39:51,0.0,False
NFO:BANKNIFTY2330239900CE,BANKNIFTY,39900.0,CE,19870.0,397.4,0.0,349.4,2400.0,347.3,347.3,-2565.0,Stop Loss Hit,False,09:45:01,09:59:20,0.0,False
NFO:BANKNIFTY2330240100PE,BANKNIFTY,40100.0,PE,16985.0,339.7,0.0,351.2625,1200.3999999999996,348.05,348.05,357.5,Stop Loss Hit,False,09:59:20,10:02:20,0.0,False
NFO:BANKNIFTY2330240100PE,BANKNIFTY,40100.0,PE,17380.0,347.6,0.0,386.6025,1212.7999999999884,381.7,381.7,1645.0,Stop Loss Hit,False,10:02:20,10:16:49,0.0,False
NFO:BANKNIFTY2330240000PE,BANKNIFTY,40000.0,PE,24438.75,325.85,0.0,301.85,1800.0,309.35,309.35,-1297.5,due to is_long,False,10:16:49,10:31:01,0.0,False
NFO:BANKNIFTY2330239800CE,BANKNIFTY,39800.0,CE,18725.0,374.5,0.0,326.5,2400.0,351.95,351.95,-1187.5,due to is_short,False,10:31:03,10:54:01,0.0,False
NFO:BANKNIFTY2330240000PE,BANKNIFTY,40000.0,PE,16742.5,334.85,0.0,310.85,1200.0,309.75,309.75,-1315.0,Stop Loss Hit,False,10:54:03,11:01:18,0.0,False
NFO:BANKNIFTY2330239800CE,BANKNIFTY,39800.0,CE,18442.5,368.85,0.0,503.92750000000007,2414.300000000052,503.8,503.8,6687.5,Stop Loss Hit,False,11:01:19,11:15:44,0.0,False
NFO:BANKNIFTY2330240000CE,BANKNIFTY,40000.0,CE,27847.5,371.3,0.0,424.8875,3613.200000000048,422.55,422.55,3783.75,Stop Loss Hit,False,11:15:45,11:45:56,0.0,False
NFO:BANKNIFTY2330240100CE,BANKNIFTY,40100.0,CE,27063.75,360.85,0.0,312.85,3600.0,363.45,363.45,135.0,due to is_short,False,11:45:57,11:49:16,0.0,False
NFO:BANKNIFTY2330240400PE,BANKNIFTY,40400.0,PE,27855.0,371.4,0.0,347.4,1800.0,346.75,346.75,-1908.75,Stop Loss Hit,False,11:49:18,11:51:14,0.0,False
NFO:BANKNIFTY2330240400PE,BANKNIFTY,40400.0,PE,26643.75,355.25,0.0,372.4,1803.9999999999964,372.35,372.35,1222.5,Stop Loss Hit,False,12:00:01,12:06:16,0.0,False
NFO:BANKNIFTY2330240300PE,BANKNIFTY,40300.0,PE,23786.25,317.15,0.0,342.0475,1809.249999999992,341.1,341.1,1736.25,Stop Loss Hit,False,12:06:17,12:21:30,0.0,False
NFO:BANKNIFTY2330240300PE,BANKNIFTY,40300.0,PE,25582.5,341.1,0.0,317.1,1800.0,316.75,316.75,-1886.25,Stop Loss Hit,False,12:21:31,12:34:47,0.0,False
NFO:BANKNIFTY2330240300PE,BANKNIFTY,40300.0,PE,24513.75,326.85,0.0,302.85,1800.0,302.75,302.75,-1867.5,Stop Loss Hit,False,12:45:01,12:50:59,0.0,False
