orderId,symbol,strikePrice,side,investment,buy_price,qty,stoploss,target,exit_price,ltp,profit_loss,remark,unsubscribe,entry_time,exit_time,remaining_balance,kite_order
NFO:Profit,,,,,,,,,,,-15308.750000000004,,False,23:59:59,,2026.2499999999964,False
NFO:BANKNIFTY23FEB40600PE,BANKNIFTY,40600.0,PE,24950.0,249.5,0.0,290.51,4003.850000000014,289.95,289.95,3985.0,Stop Loss Hit,False,09:30:02,09:44:49,0.0,False
NFO:BANKNIFTY23FEB40500PE,BANKNIFTY,40500.0,PE,28437.5,227.5,0.0,253.31749999999997,4001.100000000004,249.5,249.5,2690.0,Stop Loss Hit,False,09:44:50,09:57:55,0.0,False
NFO:BANKNIFTY23FEB40200CE,BANKNIFTY,40200.0,CE,22627.5,301.7,0.0,277.7,1800.0,276.9,276.9,-1920.0,Stop Loss Hit,False,09:57:56,10:15:57,0.0,False
NFO:BANKNIFTY23FEB40200CE,BANKNIFTY,40200.0,CE,28795.0,287.95,0.0,263.95,2400.0,263.8,263.8,-2475.0,Stop Loss Hit,False,10:30:02,10:38:49,0.0,False
NFO:BANKNIFTY23FEB40100CE,BANKNIFTY,40100.0,CE,23411.25,312.15,0.0,288.15,1800.0,286.6,286.6,-1976.25,Stop Loss Hit,False,10:45:02,10:51:29,0.0,False
NFO:BANKNIFTY23FEB40100CE,BANKNIFTY,40100.0,CE,27910.000000000004,279.1,0.0,255.10000000000002,2400.0,255.1,255.1,-2460.0000000000036,Stop Loss Hit,False,11:00:02,11:03:03,0.0,False
NFO:BANKNIFTY23FEB40300PE,BANKNIFTY,40300.0,PE,25905.0,259.05,0.0,219.05,4000.0,215.0,215.0,-4465.0,Stop Loss Hit,False,11:09:02,11:26:31,0.0,False
NFO:BANKNIFTY23FEB40100CE,BANKNIFTY,40100.0,CE,21075.0,281.0,0.0,257.0,1800.0,256.6,256.6,-1890.0,Stop Loss Hit,False,11:26:32,11:33:39,0.0,False
NFO:BANKNIFTY23FEB40000CE,BANKNIFTY,40000.0,CE,14552.5,291.05,0.0,303.38250000000005,1201.3499999999988,300.9,300.9,432.4999999999982,Stop Loss Hit,False,11:45:02,12:19:47,0.0,False
NFO:BANKNIFTY23FEB40000CE,BANKNIFTY,40000.0,CE,15047.5,300.95,0.0,276.95,1200.0,273.3,273.3,-1442.5,Stop Loss Hit,False,12:19:47,12:33:09,0.0,False
