orderId,symbol,strikePrice,side,investment,buy_price,qty,stoploss,target,exit_price,ltp,profit_loss,remark,unsubscribe,entry_time,exit_time,remaining_balance,kite_order
NFO:Profit,,,,,,,,,,,-16304.999999999996,,False,23:59:59,,5773.750000000004,False
NFO:BANKNIFTY2330240500PE,BANKNIFTY,40500.0,PE,24307.5,324.1,0.0,343.4725,1800.6499999999994,340.6,340.6,1177.5,Stop Loss Hit,False,09:16:03,09:18:40,0.0,False
NFO:BANKNIFTY2330240500PE,BANKNIFTY,40500.0,PE,25545.0,340.6,0.0,316.6,1800.0,315.35,315.35,-1953.75,Stop Loss Hit,False,09:18:41,09:19:02,0.0,False
NFO:BANKNIFTY2330240400PE,BANKNIFTY,40400.0,PE,23055.0,307.4,0.0,259.4,3600.0,258.9,258.9,-3697.5,Stop Loss Hit,False,09:30:09,09:39:20,0.0,False
NFO:BANKNIFTY2330240400PE,BANKNIFTY,40400.0,PE,21345.0,284.6,0.0,236.6,3600.0,273.25,273.25,-911.25,due to is_long,False,09:45:01,10:00:09,0.0,False
NFO:BANKNIFTY2330240100CE,BANKNIFTY,40100.0,CE,18220.0,364.4,0.0,340.4,1200.0,340.2,340.2,-1270.0,Stop Loss Hit,False,10:00:21,10:01:57,0.0,False
NFO:BANKNIFTY2330240200CE,BANKNIFTY,40200.0,CE,22691.25,302.55,0.0,278.55,1800.0,286.2,286.2,-1286.25,due to is_short,False,10:15:27,10:17:03,0.0,False
NFO:BANKNIFTY2330240400PE,BANKNIFTY,40400.0,PE,14790.0,295.8,0.0,247.8,2400.0,278.95,278.95,-902.5,due to is_long,False,10:17:05,10:22:01,0.0,False
NFO:BANKNIFTY2330240200CE,BANKNIFTY,40200.0,CE,17160.0,343.2,0.0,319.2,1200.0,318.05,318.05,-1317.5,Stop Loss Hit,False,10:30:03,10:38:45,0.0,False
NFO:BANKNIFTY2330240400PE,BANKNIFTY,40400.0,PE,14805.000000000002,296.1,0.0,248.1,2400.0,268.75,268.75,-1427.5,due to is_long,False,10:45:01,11:03:03,0.0,False
NFO:BANKNIFTY2330240200CE,BANKNIFTY,40200.0,CE,14877.5,297.55,0.0,273.55,1200.0,292.35,292.35,-320.0,due to is_short,False,11:03:05,11:16:01,0.0,False
NFO:BANKNIFTY2330240400PE,BANKNIFTY,40400.0,PE,13527.5,270.55,0.0,222.55,2400.0,262.6,262.6,-457.5,due to is_long,False,11:16:03,11:17:01,0.0,False
NFO:BANKNIFTY2330240400PE,BANKNIFTY,40400.0,PE,14122.5,282.45,0.0,234.45,2400.0,262.85,262.85,-1040.0,due to is_long,False,11:30:01,11:32:01,0.0,False
NFO:BANKNIFTY2330240200CE,BANKNIFTY,40200.0,CE,14694.999999999998,293.9,0.0,269.9,1200.0,284.9,284.9,-510.0,due to is_short,False,11:32:03,11:33:01,0.0,False
NFO:BANKNIFTY2330240400PE,BANKNIFTY,40400.0,PE,14719.999999999998,294.4,0.0,246.4,2400.0,274.55,274.55,-1052.5,due to is_long,False,11:45:01,11:47:09,0.0,False
NFO:BANKNIFTY2330240100CE,BANKNIFTY,40100.0,CE,8697.5,347.9,0.0,359.8125,600.7999999999993,359.45,359.45,228.75,Stop Loss Hit,False,11:47:11,11:49:45,0.0,False
NFO:BANKNIFTY2330240100CE,BANKNIFTY,40100.0,CE,8993.75,359.75,0.0,335.75,600.0,335.45,335.45,-667.5,Stop Loss Hit,False,11:49:45,11:50:43,0.0,False
NFO:BANKNIFTY2330240400PE,BANKNIFTY,40400.0,PE,14469.999999999998,289.4,0.0,241.4,2400.0,259.25,259.25,-1567.5,due to is_long,False,12:00:07,12:15:02,0.0,False
NFO:BANKNIFTY2330240200CE,BANKNIFTY,40200.0,CE,7278.749999999999,291.15,0.0,307.5625,602.0999999999981,307.4,307.4,346.25,Stop Loss Hit,False,12:15:03,12:24:15,0.0,False
NFO:BANKNIFTY2330240200CE,BANKNIFTY,40200.0,CE,7711.25,308.45,0.0,284.45,600.0,283.95,283.95,-672.5,Stop Loss Hit,False,12:24:16,12:27:13,0.0,False
NFO:BANKNIFTY2330240200CE,BANKNIFTY,40200.0,CE,7732.5,309.3,0.0,285.3,600.0,285.0,285.0,-667.5,Stop Loss Hit,False,12:30:00,12:39:55,0.0,False
